tenant_id,transaction_date,category_name,city,region,total_revenue,units_sold
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-01,Electronics,Seattle,WA,3686.04,17
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-01,Clothing,Dallas,TX,1035.0,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-01,Home & Garden,Austin,TX,844.23,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-01,Sports,Austin,TX,2001.38,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-02,Electronics,San Francisco,CA,5549.86,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-02,Clothing,Chicago,IL,1185.25,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-02,Home & Garden,San Francisco,CA,918.61,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-02,Sports,New York,NY,1927.34,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-03,Electronics,Seattle,WA,6995.3,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-03,Clothing,Austin,TX,874.67,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-03,Home & Garden,Austin,TX,807.43,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-03,Sports,New York,NY,2890.85,15
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-04,Electronics,New York,NY,6174.74,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-04,Clothing,San Francisco,CA,1451.09,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-04,Home & Garden,New York,NY,676.18,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-04,Sports,Seattle,WA,2551.12,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-05,Electronics,San Francisco,CA,4948.65,18
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-05,Clothing,Dallas,TX,1005.49,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-05,Home & Garden,Austin,TX,769.8,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-05,Sports,New York,NY,1648.84,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-06,Electronics,Los Angeles,CA,5490.93,15
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-06,Clothing,New York,NY,1134.3,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-06,Home & Garden,Austin,TX,654.68,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-06,Sports,Austin,TX,2476.65,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-07,Electronics,Dallas,TX,5049.49,20
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-07,Clothing,Seattle,WA,1371.26,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-07,Home & Garden,Austin,TX,893.4,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-07,Sports,Dallas,TX,3051.55,17
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-08,Electronics,Dallas,TX,3939.67,19
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-08,Clothing,San Francisco,CA,1216.48,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-08,Home & Garden,Los Angeles,CA,662.0,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-08,Sports,Seattle,WA,2815.12,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-09,Electronics,Dallas,TX,5358.03,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-09,Clothing,Chicago,IL,1035.81,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-09,Home & Garden,San Francisco,CA,806.22,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-09,Sports,Austin,TX,2518.16,18
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-10,Electronics,Los Angeles,CA,4969.27,18
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-10,Clothing,Seattle,WA,1696.42,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-10,Home & Garden,Seattle,WA,728.81,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-10,Sports,Seattle,WA,2749.03,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-11,Electronics,New York,NY,5802.66,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-11,Clothing,Seattle,WA,1420.16,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-11,Home & Garden,Dallas,TX,683.79,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-11,Sports,Chicago,IL,1986.85,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-12,Electronics,Austin,TX,3800.5,19
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-12,Clothing,Chicago,IL,1007.79,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-12,Home & Garden,New York,NY,1133.67,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-12,Sports,Austin,TX,2353.18,15
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-13,Electronics,New York,NY,5195.67,19
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-13,Clothing,Dallas,TX,1415.76,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-13,Home & Garden,Los Angeles,CA,911.31,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-13,Sports,New York,NY,2025.7,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-14,Electronics,Chicago,IL,5808.77,15
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-04-14,Clothing,San Francisco,CA,1529.01,14
