tenant_id,transaction_date,category_name,city,region,total_revenue,units_sold
acmecorp,2025-12-01,Electronics,Chicago,IL,4918.05,20
acmecorp,2025-12-01,Clothing,Dallas,TX,2202.85,18
acmecorp,2025-12-01,Home & Garden,New York,NY,1256.19,14
acmecorp,2025-12-01,Sports,Austin,TX,2642.4,18
acmecorp,2025-12-02,Electronics,Dallas,TX,5579.88,20
acmecorp,2025-12-02,Clothing,Los Angeles,CA,1868.45,19
acmecorp,2025-12-02,Home & Garden,New York,NY,904.05,9
acmecorp,2025-12-02,Sports,New York,NY,3528.48,14
acmecorp,2025-12-03,Electronics,San Francisco,CA,5531.25,23
acmecorp,2025-12-03,Clothing,Chicago,IL,1537.25,10
acmecorp,2025-12-03,Home & Garden,San Francisco,CA,1183.61,8
acmecorp,2025-12-03,Sports,New York,NY,2079.25,20
acmecorp,2025-12-04,Electronics,Los Angeles,CA,7919.14,20
acmecorp,2025-12-04,Clothing,Seattle,WA,1355.94,10
acmecorp,2025-12-04,Home & Garden,Chicago,IL,1327.69,9
acmecorp,2025-12-04,Sports,Seattle,WA,3283.08,13
acmecorp,2025-12-05,Electronics,Dallas,TX,5913.03,26
acmecorp,2025-12-05,Clothing,Dallas,TX,1546.9,12
acmecorp,2025-12-05,Home & Garden,Los Angeles,CA,1411.75,14
acmecorp,2025-12-05,Sports,Austin,TX,3737.2,23
acmecorp,2025-12-06,Electronics,Austin,TX,6022.15,27
acmecorp,2025-12-06,Clothing,Dallas,TX,1225.98,11
acmecorp,2025-12-06,Home & Garden,Seattle,WA,1086.23,10
acmecorp,2025-12-06,Sports,San Francisco,CA,2572.21,23
acmecorp,2025-12-07,Electronics,Dallas,TX,4665.86,22
acmecorp,2025-12-07,Clothing,San Francisco,CA,1632.92,10
acmecorp,2025-12-07,Home & Garden,Los Angeles,CA,976.74,6
acmecorp,2025-12-07,Sports,Seattle,WA,3309.0,12
acmecorp,2025-12-08,Electronics,Los Angeles,CA,5441.0,18
acmecorp,2025-12-08,Clothing,Seattle,WA,1833.66,11
acmecorp,2025-12-08,Home & Garden,Chicago,IL,887.53,8
acmecorp,2025-12-08,Sports,Los Angeles,CA,3394.42,19
acmecorp,2025-12-09,Electronics,Los Angeles,CA,7416.72,25
acmecorp,2025-12-09,Clothing,Austin,TX,2181.62,17
acmecorp,2025-12-09,Home & Garden,Dallas,TX,1128.1,11
acmecorp,2025-12-09,Sports,Los Angeles,CA,3662.25,18
acmecorp,2025-12-10,Electronics,Dallas,TX,4899.93,26
acmecorp,2025-12-10,Clothing,New York,NY,1730.33,18
acmecorp,2025-12-10,Home & Garden,Seattle,WA,923.55,14
acmecorp,2025-12-10,Sports,Los Angeles,CA,2915.35,11
