tenant_id,transaction_date,category_name,city,region,total_revenue,units_sold
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-01,Electronics,San Francisco,CA,2976.11,14
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-01,Clothing,Chicago,IL,1318.74,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-01,Home & Garden,Austin,TX,649.95,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-01,Sports,San Francisco,CA,1402.01,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-02,Electronics,Dallas,TX,5052.97,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-02,Clothing,Dallas,TX,1116.23,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-02,Home & Garden,New York,NY,819.53,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-02,Sports,New York,NY,1790.86,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-03,Electronics,Chicago,IL,3543.66,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-03,Clothing,Chicago,IL,954.7,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-03,Home & Garden,Seattle,WA,568.16,3
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-03,Sports,Chicago,IL,2140.94,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-04,Electronics,San Francisco,CA,2867.9,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-04,Clothing,San Francisco,CA,959.68,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-04,Home & Garden,Dallas,TX,714.55,3
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-04,Sports,Chicago,IL,1842.73,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-05,Electronics,Los Angeles,CA,4655.05,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-05,Clothing,Dallas,TX,948.33,5
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-05,Home & Garden,Dallas,TX,667.49,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-05,Sports,San Francisco,CA,1532.64,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-06,Electronics,Dallas,TX,3996.24,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-06,Clothing,Chicago,IL,878.53,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-06,Home & Garden,New York,NY,948.62,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-06,Sports,San Francisco,CA,1681.66,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-07,Electronics,New York,NY,3157.73,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-07,Clothing,Chicago,IL,768.02,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-07,Home & Garden,Austin,TX,597.94,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-07,Sports,San Francisco,CA,1584.57,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-08,Electronics,Chicago,IL,3354.24,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-08,Clothing,Dallas,TX,1131.37,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-08,Home & Garden,Seattle,WA,617.63,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-08,Sports,Los Angeles,CA,1399.91,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-09,Electronics,Dallas,TX,3748.14,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-09,Clothing,Chicago,IL,1098.98,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-09,Home & Garden,San Francisco,CA,465.38,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-09,Sports,San Francisco,CA,1481.73,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-10,Electronics,Seattle,WA,3792.43,15
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-10,Clothing,San Francisco,CA,845.96,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-10,Home & Garden,Los Angeles,CA,578.23,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-10,Sports,Chicago,IL,2032.67,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-11,Electronics,Austin,TX,4195.03,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-11,Clothing,Seattle,WA,815.15,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-11,Home & Garden,San Francisco,CA,857.09,4
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-11,Sports,Austin,TX,1471.1,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-12,Electronics,Los Angeles,CA,4606.47,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-12,Clothing,Los Angeles,CA,1147.4,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-12,Home & Garden,San Francisco,CA,491.42,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-12,Sports,Austin,TX,2209.6,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-13,Electronics,Los Angeles,CA,4241.92,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-13,Clothing,Dallas,TX,829.92,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-13,Home & Garden,Austin,TX,650.49,3
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-13,Sports,Chicago,IL,2017.39,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-14,Electronics,Austin,TX,4312.93,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-14,Clothing,San Francisco,CA,1164.16,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-14,Home & Garden,San Francisco,CA,619.34,5
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-14,Sports,Seattle,WA,1701.45,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-15,Electronics,Seattle,WA,3593.57,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-15,Clothing,San Francisco,CA,961.0,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-15,Home & Garden,Seattle,WA,532.18,4
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-15,Sports,Seattle,WA,1463.33,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-16,Electronics,New York,NY,4053.38,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-16,Clothing,Los Angeles,CA,972.88,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-16,Home & Garden,Los Angeles,CA,752.71,3
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-16,Sports,Chicago,IL,1246.65,13
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-17,Electronics,Chicago,IL,4614.05,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-17,Clothing,Los Angeles,CA,1215.49,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-17,Home & Garden,Austin,TX,572.88,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-17,Sports,San Francisco,CA,2020.51,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-18,Electronics,Los Angeles,CA,3155.75,12
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-18,Clothing,San Francisco,CA,970.16,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-18,Home & Garden,Austin,TX,459.93,4
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-18,Sports,Chicago,IL,2177.42,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-19,Electronics,Los Angeles,CA,2732.01,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-19,Clothing,Dallas,TX,1314.38,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-19,Home & Garden,Chicago,IL,561.68,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-19,Sports,Austin,TX,1563.7,10
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-20,Electronics,Seattle,WA,3171.12,8
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-20,Clothing,Dallas,TX,938.07,9
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-20,Home & Garden,Los Angeles,CA,583.5,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-20,Sports,Dallas,TX,1458.41,11
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-21,Electronics,San Francisco,CA,4329.03,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-21,Clothing,Dallas,TX,848.39,6
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-21,Home & Garden,Chicago,IL,511.93,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-21,Sports,Los Angeles,CA,1349.86,7
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-22,Electronics,San Francisco,CA,2907.33,16
e883201e-276b-44ce-bc0f-7c9c365ca301,2026-01-22,Clothing,Dallas,TX,1003.71,7
