tenant_id,transaction_date,category_name,city,region,total_revenue,units_sold
acmecorp,2026-05-01,Electronics,Austin,TX,3443.32,10
acmecorp,2026-05-01,Clothing,New York,NY,814.99,7
acmecorp,2026-05-01,Home & Garden,New York,NY,648.22,10
acmecorp,2026-05-01,Sports,Seattle,WA,2693.85,16
acmecorp,2026-05-02,Electronics,Chicago,IL,4492.71,12
acmecorp,2026-05-02,Clothing,Chicago,IL,911.84,13
acmecorp,2026-05-02,Home & Garden,Los Angeles,CA,1046.83,4
acmecorp,2026-05-02,Sports,San Francisco,CA,1784.52,8
acmecorp,2026-05-03,Electronics,Chicago,IL,3982.39,13
acmecorp,2026-05-03,Clothing,Los Angeles,CA,972.45,10
acmecorp,2026-05-03,Home & Garden,San Francisco,CA,612.12,7
acmecorp,2026-05-03,Sports,Los Angeles,CA,1762.52,9
acmecorp,2026-05-04,Electronics,Dallas,TX,5129.93,18
acmecorp,2026-05-04,Clothing,Austin,TX,1748.14,12
acmecorp,2026-05-04,Home & Garden,Chicago,IL,827.62,8
acmecorp,2026-05-04,Sports,Seattle,WA,2716.99,8
acmecorp,2026-05-05,Electronics,Dallas,TX,5051.34,16
acmecorp,2026-05-05,Clothing,New York,NY,925.07,13
acmecorp,2026-05-05,Home & Garden,San Francisco,CA,855.51,8
acmecorp,2026-05-05,Sports,Seattle,WA,1795.01,8
acmecorp,2026-05-06,Electronics,Los Angeles,CA,4829.09,12
acmecorp,2026-05-06,Clothing,Dallas,TX,888.28,13
acmecorp,2026-05-06,Home & Garden,Los Angeles,CA,641.28,9
acmecorp,2026-05-06,Sports,Austin,TX,2581.25,16
acmecorp,2026-05-07,Electronics,Chicago,IL,4418.3,18
acmecorp,2026-05-07,Clothing,Seattle,WA,1452.77,9
acmecorp,2026-05-07,Home & Garden,San Francisco,CA,656.54,6
acmecorp,2026-05-07,Sports,San Francisco,CA,1456.13,15
acmecorp,2026-05-08,Electronics,Los Angeles,CA,4157.11,16
acmecorp,2026-05-08,Clothing,Dallas,TX,1490.46,9
acmecorp,2026-05-08,Home & Garden,Seattle,WA,682.57,5
acmecorp,2026-05-08,Sports,Chicago,IL,2360.54,15
acmecorp,2026-05-09,Electronics,New York,NY,5029.39,13
acmecorp,2026-05-09,Clothing,Los Angeles,CA,1308.21,12
acmecorp,2026-05-09,Home & Garden,New York,NY,1016.99,7
acmecorp,2026-05-09,Sports,Austin,TX,2064.86,13
acmecorp,2026-05-10,Electronics,Los Angeles,CA,5150.94,19
acmecorp,2026-05-10,Clothing,Dallas,TX,1472.41,13
acmecorp,2026-05-10,Home & Garden,Chicago,IL,965.76,9
acmecorp,2026-05-10,Sports,Dallas,TX,2474.9,15
