tenant_id,transaction_date,category_name,city,region,total_revenue,units_sold
acmecorp,2025-11-01,Electronics,San Francisco,CA,4447.19,13
acmecorp,2025-11-01,Clothing,San Francisco,CA,1207.14,12
acmecorp,2025-11-01,Home & Garden,New York,NY,807.06,8
acmecorp,2025-11-01,Sports,Chicago,IL,2114.09,8
acmecorp,2025-11-02,Electronics,Los Angeles,CA,7068.93,21
acmecorp,2025-11-02,Clothing,San Francisco,CA,1599.1,15
acmecorp,2025-11-02,Home & Garden,Seattle,WA,778.66,8
acmecorp,2025-11-02,Sports,New York,NY,1672.2,9
acmecorp,2025-11-03,Electronics,Seattle,WA,5929.8,16
acmecorp,2025-11-03,Clothing,Los Angeles,CA,1765.55,8
acmecorp,2025-11-03,Home & Garden,New York,NY,899.31,11
acmecorp,2025-11-03,Sports,Chicago,IL,1955.6,11
acmecorp,2025-11-04,Electronics,Chicago,IL,3778.09,12
acmecorp,2025-11-04,Clothing,Chicago,IL,1132.63,10
acmecorp,2025-11-04,Home & Garden,Chicago,IL,855.81,11
acmecorp,2025-11-04,Sports,Seattle,WA,2416.87,10
acmecorp,2025-11-05,Electronics,New York,NY,6356.07,10
acmecorp,2025-11-05,Clothing,New York,NY,1086.45,13
acmecorp,2025-11-05,Home & Garden,New York,NY,841.34,10
acmecorp,2025-11-05,Sports,Dallas,TX,2435.9,10
acmecorp,2025-11-06,Electronics,Chicago,IL,4307.0,12
acmecorp,2025-11-06,Clothing,Chicago,IL,1355.18,12
acmecorp,2025-11-06,Home & Garden,Austin,TX,1193.26,6
acmecorp,2025-11-06,Sports,Seattle,WA,2742.08,9
acmecorp,2025-11-07,Electronics,Chicago,IL,4079.24,18
acmecorp,2025-11-07,Clothing,San Francisco,CA,1683.96,11
acmecorp,2025-11-07,Home & Garden,Los Angeles,CA,776.97,11
acmecorp,2025-11-07,Sports,Austin,TX,2936.68,15
acmecorp,2025-11-08,Electronics,Seattle,WA,6595.05,19
acmecorp,2025-11-08,Clothing,New York,NY,1284.44,11
acmecorp,2025-11-08,Home & Garden,Chicago,IL,1017.02,6
acmecorp,2025-11-08,Sports,Austin,TX,3227.59,9
acmecorp,2025-11-09,Electronics,Chicago,IL,5050.41,17
acmecorp,2025-11-09,Clothing,Dallas,TX,1177.25,12
acmecorp,2025-11-09,Home & Garden,Austin,TX,954.31,10
acmecorp,2025-11-09,Sports,Seattle,WA,1705.9,13
acmecorp,2025-11-10,Electronics,Dallas,TX,4460.13,18
acmecorp,2025-11-10,Clothing,New York,NY,1442.51,9
acmecorp,2025-11-10,Home & Garden,Austin,TX,760.83,10
acmecorp,2025-11-10,Sports,New York,NY,2589.16,17
acmecorp,2025-11-11,Electronics,Los Angeles,CA,5549.43,16
acmecorp,2025-11-11,Clothing,San Francisco,CA,1037.95,8
acmecorp,2025-11-11,Home & Garden,New York,NY,1128.41,9
acmecorp,2025-11-11,Sports,Austin,TX,2291.3,10
acmecorp,2025-11-12,Electronics,New York,NY,5081.46,21
acmecorp,2025-11-12,Clothing,Los Angeles,CA,1283.31,15
acmecorp,2025-11-12,Home & Garden,Chicago,IL,1140.33,8
acmecorp,2025-11-12,Sports,Chicago,IL,3255.14,11
acmecorp,2025-11-13,Electronics,Seattle,WA,6648.55,19
acmecorp,2025-11-13,Clothing,Seattle,WA,1440.1,10
acmecorp,2025-11-13,Home & Garden,Seattle,WA,1223.97,9
acmecorp,2025-11-13,Sports,Austin,TX,2458.04,12
acmecorp,2025-11-14,Electronics,New York,NY,4178.37,18
acmecorp,2025-11-14,Clothing,Austin,TX,1318.93,7
acmecorp,2025-11-14,Home & Garden,Dallas,TX,922.56,9
acmecorp,2025-11-14,Sports,Dallas,TX,1935.31,13
acmecorp,2025-11-15,Electronics,San Francisco,CA,5539.38,13
acmecorp,2025-11-15,Clothing,Austin,TX,1226.78,7
acmecorp,2025-11-15,Home & Garden,Chicago,IL,767.07,11
acmecorp,2025-11-15,Sports,Dallas,TX,2498.45,11
acmecorp,2025-11-16,Electronics,New York,NY,6814.91,22
acmecorp,2025-11-16,Clothing,Dallas,TX,1350.86,12
acmecorp,2025-11-16,Home & Garden,Dallas,TX,1046.7,10
acmecorp,2025-11-16,Sports,San Francisco,CA,2469.78,14
acmecorp,2025-11-17,Electronics,New York,NY,4065.78,12
acmecorp,2025-11-17,Clothing,Austin,TX,989.51,14
acmecorp,2025-11-17,Home & Garden,Dallas,TX,1091.34,6
acmecorp,2025-11-17,Sports,Seattle,WA,3186.12,18
acmecorp,2025-11-18,Electronics,Dallas,TX,6833.43,18
acmecorp,2025-11-18,Clothing,Seattle,WA,1321.33,10
acmecorp,2025-11-18,Home & Garden,Los Angeles,CA,1243.84,7
acmecorp,2025-11-18,Sports,New York,NY,1694.89,13
acmecorp,2025-11-19,Electronics,Chicago,IL,5990.16,16
acmecorp,2025-11-19,Clothing,Los Angeles,CA,1020.61,14
